path,kind,min_leg_kzt,days_span,n_occurrences
100000008686313100->100000006866783100->100000007639767100->100000004400305100->100000008686313100,cycle,10000.0,,1
100000008686313100->100000006866783100->100000007639767100->100000008603629100->100000008686313100,cycle,23018.0,,1
100000008686313100->100000006866783100->100000008137435100->100000008686313100,cycle,43906.0,,1
100000008686313100->100000006866783100->100000008304139100->100000000437046100->100000008686313100,cycle,23567.0,,1
100000008686313100->100000006866783100->100000008304139100->100000008603629100->100000008686313100,cycle,23567.0,,1
100000008686313100->100000006866783100->100000008686313100,cycle,48100.0,,1
100000008686313100->100000008477350100->100000003968044100->100000008603629100->100000008686313100,cycle,25800.0,,1
100000008686313100->100000008477350100->100000005910114100->100000006866783100->100000008686313100,cycle,25800.0,,1
100000008686313100->100000008477350100->100000005910114100->100000008603629100->100000008686313100,cycle,25800.0,,1
100000008686313100->100000008477350100->100000007639767100->100000000437046100->100000008686313100,cycle,16305.0,,1
100000008686313100->100000008477350100->100000007639767100->100000004400305100->100000008686313100,cycle,10000.0,,1
100000008686313100->100000008477350100->100000007639767100->100000006866783100->100000008686313100,cycle,10000.0,,1
100000008686313100->100000008477350100->100000007639767100->100000008603629100->100000008686313100,cycle,16305.0,,1
100000008686313100->100000008477350100->100000008086440100->100000000437046100->100000008686313100,cycle,25800.0,,1
100000008686313100->100000008477350100->100000008086440100->100000008603629100->100000008686313100,cycle,25800.0,,1
100000008686313100->100000008603629100->100000001609499100->100000006866783100->100000008686313100,cycle,11000.0,,1
100000008686313100->100000008603629100->100000001660397100->100000006866783100->100000008686313100,cycle,24000.0,,1
100000008686313100->100000008603629100->100000004351795100->100000000437046100->100000008686313100,cycle,22418.0,,1
100000008686313100->100000008603629100->100000007639767100->100000000437046100->100000008686313100,cycle,23722.0,,1
100000008686313100->100000008603629100->100000007639767100->100000004400305100->100000008686313100,cycle,10000.0,,1
100000008686313100->100000008603629100->100000007639767100->100000006866783100->100000008686313100,cycle,10000.0,,1
100000008686313100->100000008603629100->100000008686313100,cycle,55500.0,,1
100000008710843100->100000008547844100->100000008547948100->100000008489922100->100000008710843100,cycle,18200.0,,1
100000008736940100->100000008193577100->100000005456919100->100000008659445100->100000008736940100,cycle,5000.0,,1
100000008736940100->100000008193577100->100000008659445100->100000008736940100,cycle,56190.0,,1
100000008736940100->100000008193577100->100000008659445100->100000008751429100->100000008736940100,cycle,56190.0,,1
100000008736940100->100000008193577100->100000008736940100,cycle,67300.0,,1
100000008736940100->100000008193577100->100000008751429100->100000008736940100,cycle,67300.0,,1
100000008736940100->100000008659445100->100000008193577100->100000008736940100,cycle,77300.0,,1
100000008736940100->100000008659445100->100000008193577100->100000008751429100->100000008736940100,cycle,72600.0,,1
100000008736940100->100000008659445100->100000008736940100,cycle,77300.0,,1
100000008736940100->100000008659445100->100000008751429100->100000008736940100,cycle,72600.0,,1
100000008736940100->100000008751429100->100000008736940100,cycle,37500.0,,1
100000008762832100->100000008748914100->100000008762832100,cycle,85000.0,,1
100000000076451100->100000002575080100->100000002832753100,transit_chain,12500.0,0.0,1
100000000331309100->100000002433697100->100000002242455100,transit_chain,110000.0,0.0,1
100000000331309100->100000002628576100->100000002208836100,transit_chain,90000.0,0.0,1
100000000331309100->100000002628576100->100000007841978100,transit_chain,449000.0,0.0,1
100000000331309100->100000005756189100->100000002971593100,transit_chain,49050.0,0.0,1
100000000343175100->100000007129492100->100000006852430100,transit_chain,25990.0,0.0,1
100000000437046100->100000003204491100->100000004840086100,transit_chain,100000.0,0.0,1
100000000490383100->100000007544358100->100000003798151100,transit_chain,22500.0,0.0,1
100000001427082100->100000002448088100->100000002229615100,transit_chain,5000.0,0.0,1
100000001857829100->100000007170072100->100000003177533100,transit_chain,20000.0,2.0,1
100000001857829100->100000007170072100->100000003345947100,transit_chain,79500.0,2.0,1
100000001872484100->100000000785800100->100000008601794100,transit_chain,19000.0,0.0,1
100000002459093100->100000006664478100->100000005636951100,transit_chain,40000.0,0.0,1
100000002578405100->100000008493007100->100000005685783100,transit_chain,26150.0,1.0,1
100000002738256100->100000004135268100->100000004979498100,transit_chain,175000.0,1.0,1
100000002738256100->100000004135268100->100000008571433100,transit_chain,150000.0,0.0,1
100000002957787100->100000004770073100->100000005293969100,transit_chain,5462.4,0.0,1
100000003016635100->100000006069103100->100000006787636100,transit_chain,20000.0,0.0,1
100000003016635100->100000008723830100->100000005614315100,transit_chain,454000.0,1.0,1
100000003854444100->100000005661829100->100000008546855100,transit_chain,33790.0,0.0,1
100000003934614100->100000004336312100->100000004017410100,transit_chain,11500.0,1.0,1
100000004007116100->100000004005964100->100000003616818100,transit_chain,10000.0,1.0,1
100000004321983100->100000005171642100->100000004221668100,transit_chain,6200.0,0.0,1
100000004358004100->100000002479804100->100000005507142100,transit_chain,23000.0,1.0,1
100000004400305100->100000003254277100->100000007153161100,transit_chain,44997.0,0.0,1
100000004400305100->100000003574895100->100000004988240100,transit_chain,20000.0,0.0,1
100000004400305100->100000005186131100->100000006171671100,transit_chain,10000.0,0.0,1
100000005602999100->100000008501413100->100000005910895100,transit_chain,5000.0,2.0,1
100000005612411100->100000001102676100->100000003684369100,transit_chain,50000.0,0.0,1
100000005933757100->100000008104567100->100000001616816100,transit_chain,12000.0,0.0,1
100000006866783100->100000004325327100->100000002445750100,transit_chain,47472.0,2.0,1
100000007018630100->100000002371751100->100000000769919100,transit_chain,200000.0,1.0,1
100000007639767100->100000000489417100->100000001236706100,transit_chain,20000.0,0.0,1
100000007747786100->100000008349675100->100000002340562100,transit_chain,36650.0,0.0,1
100000007777377100->100000002448088100->100000002229615100,transit_chain,5000.0,0.0,1
100000008172352100->100000007322059100->100000004552204100,transit_chain,22500.0,0.0,1
100000008466579100->100000008692291100->100000004908173100,transit_chain,21000.0,1.0,1
100000008547948100->100000008692291100->100000004908173100,transit_chain,21000.0,1.0,1
100000008575624100->100000004094958100->100000004331458100,transit_chain,39000.0,0.0,1
100000008575624100->100000005363908100->100000005546031100,transit_chain,19500.0,0.0,1
100000008603629100->100000001660397100->100000006866783100,transit_chain,24000.0,1.0,1
100000008603629100->100000001660397100->100000008413748100,transit_chain,13000.0,0.0,1
100000008603629100->100000007197866100->100000004379306100,transit_chain,15000.0,0.0,1
100000008636603100->100000003265158100->100000004386258100,transit_chain,46700.0,0.0,1
100000008680731100->100000003265158100->100000007242833100,transit_chain,80700.0,0.0,1
100000008710791100->100000008724461100->100000001246806100,transit_chain,100111.0,0.0,1
100000008730846100->100000000976943100->100000004601193100,transit_chain,70000.0,0.0,1
100000008748408100->100000003509750100->100000001639766100,transit_chain,20000.0,0.0,1
